complaint_id,title,text,category,priority,location,existing,resolution_summary
CMP0014,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in near the city school please look into this as soon as possible.,Water Supply,Critical,First Cross Street,1,Water supply issue addressed and supply restored.
CMP0015,Water has been completely cut off in gandhi,Water has been completely cut off in gandhi street since yesterday morning please look into this as soon as possible.,Water Supply,High,Mg Road,0,Water supply issue addressed and supply restored.
CMP0016,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in mg road.,Water Supply,Critical,Anna Nagar,1,Water supply issue addressed and supply restored.
CMP0017,No water supply in jubilee bus stop for,No water supply in jubilee bus stop for 7 days affecting many houses please look into this as soon as possible.,Water Supply,High,Block B,1,Water supply issue addressed and supply restored.
CMP0018,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding block b.,Water Supply,Critical,Mg Road,1,Water supply issue addressed and supply restored.
CMP0019,Water pressure is very low in kamaraj colony,Water pressure is very low in kamaraj colony during morning hours please look into this as soon as possible.,Water Supply,Medium,Sector 12,1,Water supply issue addressed and supply restored.
CMP0020,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding first cross street.,Water Supply,Critical,Near The City School,0,Water supply issue addressed and supply restored.
CMP0021,Tank water not filled in block b for,Tank water not filled in block b for this week.,Water Supply,Medium,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0022,No water supply in main road near the,No water supply in main road near the market for 15 days affecting many houses please look into this as soon as possible.,Water Supply,High,Mg Road,1,Water supply issue addressed and supply restored.
CMP0023,Water comes only for a few minutes in,Water comes only for a few minutes in kannagi street these days.,Water Supply,Medium,Gandhi Street,1,Water supply issue addressed and supply restored.
CMP0024,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding sector 12.,Water Supply,Critical,Mg Road,1,Water supply issue addressed and supply restored.
CMP0025,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in mg road.,Water Supply,Critical,Mg Road,0,Water supply issue addressed and supply restored.
CMP0026,Water pressure is very low in kamaraj colony,Water pressure is very low in kamaraj colony during morning hours please look into this as soon as possible.,Water Supply,Medium,Anna Nagar,1,Water supply issue addressed and supply restored.
CMP0027,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding sector 12 please look into this as soon as possible.,Water Supply,Critical,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0028,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding mg road.,Water Supply,Critical,Main Road Near The Market,1,Water supply issue addressed and supply restored.
CMP0029,Water pressure is very low in sector 12,Water pressure is very low in sector 12 during morning hours.,Water Supply,Medium,Anna Nagar,1,Water supply issue addressed and supply restored.
CMP0030,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding gandhi street please look into this as soon as possible.,Water Supply,Critical,Jubilee Bus Stop,0,Water supply issue addressed and supply restored.
CMP0031,Water pressure is very low in anna nagar,Water pressure is very low in anna nagar during morning hours.,Water Supply,Medium,Kannagi Street,1,Water supply issue addressed and supply restored.
CMP0032,Not receiving drinking water in kannagi street for,Not receiving drinking water in kannagi street for three days.,Water Supply,High,Main Road Near The Market,1,Water supply issue addressed and supply restored.
CMP0033,Not receiving drinking water in sector 12 for,Not receiving drinking water in sector 12 for three days please look into this as soon as possible.,Water Supply,High,Near The City School,1,Water supply issue addressed and supply restored.
CMP0034,Water pressure is very low in sector 12,Water pressure is very low in sector 12 during morning hours.,Water Supply,Medium,Block B,1,Water supply issue addressed and supply restored.
CMP0035,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding lake view road.,Water Supply,Critical,Gandhi Street,0,Water supply issue addressed and supply restored.
CMP0036,Water leakage from the main line is wasting,Water leakage from the main line is wasting huge amounts and flooding kannagi street please look into this as soon as possible.,Water Supply,Critical,Jubilee Bus Stop,1,Water supply issue addressed and supply restored.
CMP0037,Water has been completely cut off in near,Water has been completely cut off in near the city school since yesterday morning please look into this as soon as possible.,Water Supply,High,First Cross Street,1,Water supply issue addressed and supply restored.
CMP0038,Verge water pipeline has burst and water is,Verge water pipeline has burst and water is flooding the road in block b.,Water Supply,Critical,Jubilee Bus Stop,1,Water supply issue addressed and supply restored.
CMP0039,Water has been completely cut off in kamaraj,Water has been completely cut off in kamaraj colony since yesterday morning.,Water Supply,High,Sector 12,1,Water supply issue addressed and supply restored.
CMP0040,Not receiving drinking water in block b for,Not receiving drinking water in block b for three days.,Water Supply,High,Lake View Road,0,Water supply issue addressed and supply restored.
CMP0041,Power cut for 15 hours every day in,Power cut for 15 hours every day in kannagi street.,Electricity,High,Lake View Road,1,Electrical fault attended and service restored.
CMP0042,Transformer in first cross street makes noise and,Transformer in first cross street makes noise and trips often.,Electricity,Medium,Mg Road,1,Electrical fault attended and service restored.
CMP0043,Power cut for 15 hours every day in,Power cut for 15 hours every day in lake view road please look into this as soon as possible.,Electricity,High,Kannagi Street,1,Electrical fault attended and service restored.
CMP0044,Power cut for 10 hours every day in,Power cut for 10 hours every day in block b.,Electricity,High,Lake View Road,1,Electrical fault attended and service restored.
CMP0045,Electricity is failing repeatedly in gandhi street damaging,Electricity is failing repeatedly in gandhi street damaging appliances.,Electricity,High,Kannagi Street,0,Electrical fault attended and service restored.
CMP0046,No power supply in anna nagar during evening,No power supply in anna nagar during evening hours.,Electricity,Medium,Anna Nagar,1,Electrical fault attended and service restored.
CMP0047,Power cut for 7 hours every day in,Power cut for 7 hours every day in main road near the market.,Electricity,High,Block B,1,Electrical fault attended and service restored.
CMP0048,No power supply in main road near the,No power supply in main road near the market during evening hours please look into this as soon as possible.,Electricity,Medium,Lake View Road,1,Electrical fault attended and service restored.
CMP0049,Transformer in kamaraj colony makes noise and trips,Transformer in kamaraj colony makes noise and trips often.,Electricity,Medium,First Cross Street,1,Electrical fault attended and service restored.
CMP0050,Power restoration was slightly delayed in main road,Power restoration was slightly delayed in main road near the market last week please look into this as soon as possible.,Electricity,Low,Anna Nagar,0,Electrical fault attended and service restored.
CMP0051,Power restoration was slightly delayed in first cross,Power restoration was slightly delayed in first cross street last week please look into this as soon as possible.,Electricity,Low,Near The City School,1,Electrical fault attended and service restored.
CMP0052,No power supply in anna nagar during evening,No power supply in anna nagar during evening hours please look into this as soon as possible.,Electricity,Medium,Main Road Near The Market,1,Electrical fault attended and service restored.
CMP0053,Voltage fluctuation is very high in kannagi street,Voltage fluctuation is very high in kannagi street and appliances are getting damaged.,Electricity,High,Lake View Road,1,Electrical fault attended and service restored.
CMP0054,Voltage fluctuation is very high in block b,Voltage fluctuation is very high in block b and appliances are getting damaged.,Electricity,High,Near The City School,1,Electrical fault attended and service restored.
CMP0055,Electricity is failing repeatedly in mg road damaging,Electricity is failing repeatedly in mg road damaging appliances.,Electricity,High,Jubilee Bus Stop,0,Electrical fault attended and service restored.
CMP0056,No power supply in mg road during evening,No power supply in mg road during evening hours please look into this as soon as possible.,Electricity,Medium,Kamaraj Colony,1,Electrical fault attended and service restored.
CMP0057,No power supply in mg road during evening,No power supply in mg road during evening hours please look into this as soon as possible.,Electricity,Medium,Jubilee Bus Stop,1,Electrical fault attended and service restored.
CMP0058,Power cut for 10 hours every day in,Power cut for 10 hours every day in gandhi street.,Electricity,High,Kannagi Street,1,Electrical fault attended and service restored.
CMP0059,Voltage fluctuation is very high in block b,Voltage fluctuation is very high in block b and appliances are getting damaged please look into this as soon as possible.,Electricity,High,Jubilee Bus Stop,1,Electrical fault attended and service restored.
CMP0060,Power cut for 5 hours every day in,Power cut for 5 hours every day in jubilee bus stop please look into this as soon as possible.,Electricity,High,Sector 12,0,Electrical fault attended and service restored.
CMP0061,Power restoration was slightly delayed in near the,Power restoration was slightly delayed in near the city school last week.,Electricity,Low,Anna Nagar,1,Electrical fault attended and service restored.
CMP0062,Power restoration was slightly delayed in mg road,Power restoration was slightly delayed in mg road last week.,Electricity,Low,Main Road Near The Market,1,Electrical fault attended and service restored.
CMP0063,No power supply in kannagi street during evening,No power supply in kannagi street during evening hours.,Electricity,Medium,Kamaraj Colony,1,Electrical fault attended and service restored.
CMP0064,No power supply in first cross street during,No power supply in first cross street during evening hours please look into this as soon as possible.,Electricity,Medium,Mg Road,1,Electrical fault attended and service restored.
CMP0065,Transformer in kamaraj colony makes noise and trips,Transformer in kamaraj colony makes noise and trips often please look into this as soon as possible.,Electricity,Medium,Mg Road,0,Electrical fault attended and service restored.
CMP0066,Transformer in anna nagar makes noise and trips,Transformer in anna nagar makes noise and trips often please look into this as soon as possible.,Electricity,Medium,Main Road Near The Market,1,Electrical fault attended and service restored.
CMP0067,Power restoration was slightly delayed in main road,Power restoration was slightly delayed in main road near the market last week.,Electricity,Low,First Cross Street,1,Electrical fault attended and service restored.
CMP0068,No power supply in kannagi street during evening,No power supply in kannagi street during evening hours.,Electricity,Medium,First Cross Street,1,Electrical fault attended and service restored.
CMP0069,Voltage fluctuation is very high in anna nagar,Voltage fluctuation is very high in anna nagar and appliances are getting damaged.,Electricity,High,Sector 12,1,Electrical fault attended and service restored.
CMP0070,Electricity is failing repeatedly in main road near,Electricity is failing repeatedly in main road near the market damaging appliances please look into this as soon as possible.,Electricity,High,Anna Nagar,0,Electrical fault attended and service restored.
CMP0071,No power supply in mg road during evening,No power supply in mg road during evening hours.,Electricity,Medium,Jubilee Bus Stop,1,Electrical fault attended and service restored.
CMP0072,Power restoration was slightly delayed in near the,Power restoration was slightly delayed in near the city school last week please look into this as soon as possible.,Electricity,Low,Block B,1,Electrical fault attended and service restored.
CMP0073,Power cut for 2 hours every day in,Power cut for 2 hours every day in lake view road please look into this as soon as possible.,Electricity,High,Jubilee Bus Stop,1,Electrical fault attended and service restored.
CMP0074,No power supply in kamaraj colony during evening,No power supply in kamaraj colony during evening hours.,Electricity,Medium,Kannagi Street,1,Electrical fault attended and service restored.
CMP0075,No power supply in gandhi street during evening,No power supply in gandhi street during evening hours please look into this as soon as possible.,Electricity,Medium,Gandhi Street,0,Electrical fault attended and service restored.
CMP0076,Transformer in block b makes noise and trips,Transformer in block b makes noise and trips often please look into this as soon as possible.,Electricity,Medium,Block B,1,Electrical fault attended and service restored.
CMP0077,Transformer in kamaraj colony makes noise and trips,Transformer in kamaraj colony makes noise and trips often please look into this as soon as possible.,Electricity,Medium,Kamaraj Colony,1,Electrical fault attended and service restored.
CMP0078,Transformer in mg road makes noise and trips,Transformer in mg road makes noise and trips often.,Electricity,Medium,Anna Nagar,1,Electrical fault attended and service restored.
CMP0079,Electricity is failing repeatedly in main road near,Electricity is failing repeatedly in main road near the market damaging appliances.,Electricity,High,Kamaraj Colony,1,Electrical fault attended and service restored.
CMP0080,Power cut for 7 hours every day in,Power cut for 7 hours every day in near the city school please look into this as soon as possible.,Electricity,High,Jubilee Bus Stop,0,Electrical fault attended and service restored.
CMP0081,Road surface in lake view road is uneven,Road surface in lake view road is uneven and needs repair please look into this as soon as possible.,Roads,Medium,Anna Nagar,1,Road repair work completed.
CMP0082,Paint markings on the road at anna nagar,Paint markings on the road at anna nagar have faded.,Roads,Low,Sector 12,1,Road repair work completed.
CMP0083,Small patches of crumbling road surface near jubilee,Small patches of crumbling road surface near jubilee bus stop please look into this as soon as possible.,Roads,Low,Mg Road,1,Road repair work completed.
CMP0084,Speed breakers in mg road are damaged and,Speed breakers in mg road are damaged and not visible at night please look into this as soon as possible.,Roads,Medium,Kamaraj Colony,1,Road repair work completed.
CMP0085,Paint markings on the road at mg road,Paint markings on the road at mg road have faded please look into this as soon as possible.,Roads,Low,First Cross Street,0,Road repair work completed.
CMP0086,Road surface in block b is uneven and,Road surface in block b is uneven and needs repair.,Roads,Medium,Lake View Road,1,Road repair work completed.
CMP0087,Small patches of crumbling road surface near near,Small patches of crumbling road surface near near the city school please look into this as soon as possible.,Roads,Low,Sector 12,1,Road repair work completed.
CMP0088,Road near kamaraj colony has big cracks and,Road near kamaraj colony has big cracks and is unsafe for two wheelers.,Roads,High,Near The City School,1,Road repair work completed.
CMP0089,Paint markings on the road at gandhi street,Paint markings on the road at gandhi street have faded.,Roads,Low,Block B,1,Road repair work completed.
CMP0090,Paint markings on the road at first cross,Paint markings on the road at first cross street have faded.,Roads,Low,Kamaraj Colony,0,Road repair work completed.
CMP0091,Paint markings on the road at kannagi street,Paint markings on the road at kannagi street have faded.,Roads,Low,Block B,1,Road repair work completed.
CMP0092,Paint markings on the road at block b,Paint markings on the road at block b have faded please look into this as soon as possible.,Roads,Low,Anna Nagar,1,Road repair work completed.
CMP0093,A large pothole on the gandhi street damaged,A large pothole on the gandhi street damaged my vehicle.,Roads,High,Kannagi Street,1,Road repair work completed.
CMP0094,Speed breakers in mg road are damaged and,Speed breakers in mg road are damaged and not visible at night please look into this as soon as possible.,Roads,Medium,First Cross Street,1,Road repair work completed.
CMP0095,Speed breakers in lake view road are damaged,Speed breakers in lake view road are damaged and not visible at night please look into this as soon as possible.,Roads,Medium,First Cross Street,0,Road repair work completed.
CMP0096,A large pothole on the lake view road,A large pothole on the lake view road damaged my vehicle please look into this as soon as possible.,Roads,High,First Cross Street,1,Road repair work completed.
CMP0097,Paint markings on the road at anna nagar,Paint markings on the road at anna nagar have faded please look into this as soon as possible.,Roads,Low,Kannagi Street,1,Road repair work completed.
CMP0098,Road surface in gandhi street is uneven and,Road surface in gandhi street is uneven and needs repair.,Roads,Medium,Sector 12,1,Road repair work completed.
CMP0099,Paint markings on the road at gandhi street,Paint markings on the road at gandhi street have faded.,Roads,Low,Sector 12,1,Road repair work completed.
CMP0100,Speed breakers in main road near the market,Speed breakers in main road near the market are damaged and not visible at night.,Roads,Medium,Gandhi Street,0,Road repair work completed.
CMP0101,Road surface in mg road is uneven and,Road surface in mg road is uneven and needs repair.,Roads,Medium,Sector 12,1,Road repair work completed.
CMP0102,Road surface in kamaraj colony is uneven and,Road surface in kamaraj colony is uneven and needs repair please look into this as soon as possible.,Roads,Medium,Kamaraj Colony,1,Road repair work completed.
CMP0103,Road near jubilee bus stop has big cracks,Road near jubilee bus stop has big cracks and is unsafe for two wheelers.,Roads,High,Kannagi Street,1,Road repair work completed.
CMP0104,A large pothole on the block b damaged,A large pothole on the block b damaged my vehicle.,Roads,High,First Cross Street,1,Road repair work completed.
CMP0105,A large pothole on the lake view road,A large pothole on the lake view road damaged my vehicle please look into this as soon as possible.,Roads,High,Gandhi Street,0,Road repair work completed.
CMP0106,Road surface in block b is uneven and,Road surface in block b is uneven and needs repair.,Roads,Medium,Near The City School,1,Road repair work completed.
CMP0107,Small patches of crumbling road surface near near,Small patches of crumbling road surface near near the city school.,Roads,Low,Jubilee Bus Stop,1,Road repair work completed.
CMP0108,Speed breakers in lake view road are damaged,Speed breakers in lake view road are damaged and not visible at night.,Roads,Medium,Sector 12,1,Road repair work completed.
CMP0109,Small patches of crumbling road surface near gandhi,Small patches of crumbling road surface near gandhi street please look into this as soon as possible.,Roads,Low,Gandhi Street,1,Road repair work completed.
CMP0110,Road near jubilee bus stop has big cracks,Road near jubilee bus stop has big cracks and is unsafe for two wheelers.,Roads,High,Lake View Road,0,Road repair work completed.
CMP0111,Small patches of crumbling road surface near gandhi,Small patches of crumbling road surface near gandhi street.,Roads,Low,Sector 12,1,Road repair work completed.
CMP0112,Road near near the city school has big,Road near near the city school has big cracks and is unsafe for two wheelers.,Roads,High,Kannagi Street,1,Road repair work completed.
CMP0113,Paint markings on the road at main road,Paint markings on the road at main road near the market have faded.,Roads,Low,Anna Nagar,1,Road repair work completed.
CMP0114,Speed breakers in jubilee bus stop are damaged,Speed breakers in jubilee bus stop are damaged and not visible at night.,Roads,Medium,Jubilee Bus Stop,1,Road repair work completed.
CMP0115,Speed breakers in lake view road are damaged,Speed breakers in lake view road are damaged and not visible at night.,Roads,Medium,Gandhi Street,0,Road repair work completed.
CMP0116,The road in sector 12 has a deep,The road in sector 12 has a deep ditch causing frequent accidents.,Roads,High,Jubilee Bus Stop,1,Road repair work completed.
CMP0117,The road in kannagi street has a deep,The road in kannagi street has a deep ditch causing frequent accidents.,Roads,High,Anna Nagar,1,Road repair work completed.
CMP0118,A large pothole on the block b damaged,A large pothole on the block b damaged my vehicle please look into this as soon as possible.,Roads,High,Main Road Near The Market,1,Road repair work completed.
CMP0119,A large pothole on the gandhi street damaged,A large pothole on the gandhi street damaged my vehicle please look into this as soon as possible.,Roads,High,Block B,1,Road repair work completed.
CMP0120,Speed breakers in jubilee bus stop are damaged,Speed breakers in jubilee bus stop are damaged and not visible at night.,Roads,Medium,First Cross Street,0,Road repair work completed.
CMP0121,Loose garbage on the corner of main road,Loose garbage on the corner of main road near the market occasionally please look into this as soon as possible.,Garbage/Waste,Low,Anna Nagar,1,Garbage collected and area cleaned.
CMP0122,No garbage collection in lake view road for,No garbage collection in lake view road for the last two days please look into this as soon as possible.,Garbage/Waste,Medium,Near The City School,1,Garbage collected and area cleaned.
CMP0123,Loose garbage on the corner of kannagi street,Loose garbage on the corner of kannagi street occasionally.,Garbage/Waste,Low,Mg Road,1,Garbage collected and area cleaned.
CMP0124,Loose garbage on the corner of near the,Loose garbage on the corner of near the city school occasionally please look into this as soon as possible.,Garbage/Waste,Low,Sector 12,1,Garbage collected and area cleaned.
CMP0125,No garbage collection in kannagi street for the,No garbage collection in kannagi street for the last two days.,Garbage/Waste,Medium,Anna Nagar,0,Garbage collected and area cleaned.
CMP0126,No garbage collection in kannagi street for the,No garbage collection in kannagi street for the last two days.,Garbage/Waste,Medium,Mg Road,1,Garbage collected and area cleaned.
CMP0127,Garbage bins in lake view road are overflowing,Garbage bins in lake view road are overflowing and need urgent emptying.,Garbage/Waste,Medium,Mg Road,1,Garbage collected and area cleaned.
CMP0128,No garbage collection in gandhi street for the,No garbage collection in gandhi street for the last two days.,Garbage/Waste,Medium,Near The City School,1,Garbage collected and area cleaned.
CMP0129,No garbage collection in block b for the,No garbage collection in block b for the last two days.,Garbage/Waste,Medium,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0130,Garbage bins in gandhi street are overflowing and,Garbage bins in gandhi street are overflowing and need urgent emptying.,Garbage/Waste,Medium,Lake View Road,0,Garbage collected and area cleaned.
CMP0131,Garbage bins in gandhi street are overflowing and,Garbage bins in gandhi street are overflowing and need urgent emptying please look into this as soon as possible.,Garbage/Waste,Medium,Gandhi Street,1,Garbage collected and area cleaned.
CMP0132,Waste is piling up for 5 days in,Waste is piling up for 5 days in kamaraj colony causing a health hazard please look into this as soon as possible.,Garbage/Waste,High,Near The City School,1,Garbage collected and area cleaned.
CMP0133,Loose garbage on the corner of sector 12,Loose garbage on the corner of sector 12 occasionally.,Garbage/Waste,Low,Block B,1,Garbage collected and area cleaned.
CMP0134,Garbage has not been collected for one week,Garbage has not been collected for one week in first cross street and there is a bad smell.,Garbage/Waste,High,Block B,1,Garbage collected and area cleaned.
CMP0135,Loose garbage on the corner of mg road,Loose garbage on the corner of mg road occasionally.,Garbage/Waste,Low,Anna Nagar,0,Garbage collected and area cleaned.
CMP0136,Waste is piling up for 7 days in,Waste is piling up for 7 days in block b causing a health hazard.,Garbage/Waste,High,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0137,Loose garbage on the corner of gandhi street,Loose garbage on the corner of gandhi street occasionally.,Garbage/Waste,Low,Lake View Road,1,Garbage collected and area cleaned.
CMP0138,Loose garbage on the corner of jubilee bus,Loose garbage on the corner of jubilee bus stop occasionally.,Garbage/Waste,Low,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0139,Garbage bins in kannagi street are overflowing and,Garbage bins in kannagi street are overflowing and need urgent emptying please look into this as soon as possible.,Garbage/Waste,Medium,Kannagi Street,1,Garbage collected and area cleaned.
CMP0140,Loose garbage on the corner of block b,Loose garbage on the corner of block b occasionally.,Garbage/Waste,Low,Kamaraj Colony,0,Garbage collected and area cleaned.
CMP0141,Loose garbage on the corner of kannagi street,Loose garbage on the corner of kannagi street occasionally please look into this as soon as possible.,Garbage/Waste,Low,Block B,1,Garbage collected and area cleaned.
CMP0142,Garbage bins in kamaraj colony are overflowing and,Garbage bins in kamaraj colony are overflowing and need urgent emptying.,Garbage/Waste,Medium,Main Road Near The Market,1,Garbage collected and area cleaned.
CMP0143,Garbage bins in anna nagar are overflowing and,Garbage bins in anna nagar are overflowing and need urgent emptying please look into this as soon as possible.,Garbage/Waste,Medium,Main Road Near The Market,1,Garbage collected and area cleaned.
CMP0144,Loose garbage on the corner of kannagi street,Loose garbage on the corner of kannagi street occasionally please look into this as soon as possible.,Garbage/Waste,Low,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0145,No garbage collection in gandhi street for the,No garbage collection in gandhi street for the last two days please look into this as soon as possible.,Garbage/Waste,Medium,Anna Nagar,0,Garbage collected and area cleaned.
CMP0146,No garbage collection in kannagi street for the,No garbage collection in kannagi street for the last two days please look into this as soon as possible.,Garbage/Waste,Medium,Gandhi Street,1,Garbage collected and area cleaned.
CMP0147,Garbage has not been collected for one week,Garbage has not been collected for one week in main road near the market and there is a bad smell.,Garbage/Waste,High,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0148,Garbage has not been collected for one week,Garbage has not been collected for one week in kannagi street and there is a bad smell.,Garbage/Waste,High,Near The City School,1,Garbage collected and area cleaned.
CMP0149,Loose garbage on the corner of sector 12,Loose garbage on the corner of sector 12 occasionally.,Garbage/Waste,Low,Gandhi Street,1,Garbage collected and area cleaned.
CMP0150,No garbage collection in kamaraj colony for the,No garbage collection in kamaraj colony for the last two days.,Garbage/Waste,Medium,Near The City School,0,Garbage collected and area cleaned.
CMP0151,Loose garbage on the corner of block b,Loose garbage on the corner of block b occasionally please look into this as soon as possible.,Garbage/Waste,Low,Mg Road,1,Garbage collected and area cleaned.
CMP0152,Garbage has not been collected for one week,Garbage has not been collected for one week in block b and there is a bad smell.,Garbage/Waste,High,Main Road Near The Market,1,Garbage collected and area cleaned.
CMP0153,Waste is piling up for 15 days in,Waste is piling up for 15 days in gandhi street causing a health hazard.,Garbage/Waste,High,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0154,Garbage has not been collected for one week,Garbage has not been collected for one week in kamaraj colony and there is a bad smell please look into this as soon as possible.,Garbage/Waste,High,Gandhi Street,1,Garbage collected and area cleaned.
CMP0155,Garbage has not been collected for one week,Garbage has not been collected for one week in kamaraj colony and there is a bad smell.,Garbage/Waste,High,Near The City School,0,Garbage collected and area cleaned.
CMP0156,Loose garbage on the corner of lake view,Loose garbage on the corner of lake view road occasionally.,Garbage/Waste,Low,Mg Road,1,Garbage collected and area cleaned.
CMP0157,Waste is piling up for 2 days in,Waste is piling up for 2 days in main road near the market causing a health hazard please look into this as soon as possible.,Garbage/Waste,High,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0158,Loose garbage on the corner of gandhi street,Loose garbage on the corner of gandhi street occasionally.,Garbage/Waste,Low,Kamaraj Colony,1,Garbage collected and area cleaned.
CMP0159,Loose garbage on the corner of kamaraj colony,Loose garbage on the corner of kamaraj colony occasionally.,Garbage/Waste,Low,Gandhi Street,1,Garbage collected and area cleaned.
CMP0160,Garbage has not been collected for one week,Garbage has not been collected for one week in lake view road and there is a bad smell please look into this as soon as possible.,Garbage/Waste,High,Kamaraj Colony,0,Garbage collected and area cleaned.
CMP0161,Drainage water is overflowing onto the road in,Drainage water is overflowing onto the road in block b.,Drainage,High,Near The City School,1,Drain cleared and de-flooded.
CMP0162,Drainage in mg road is slow and water,Drainage in mg road is slow and water stays for long please look into this as soon as possible.,Drainage,Medium,Anna Nagar,1,Drain cleared and de-flooded.
CMP0163,Sewage is blocked in sector 12 and flowing,Sewage is blocked in sector 12 and flowing back into houses.,Drainage,High,Kamaraj Colony,1,Drain cleared and de-flooded.
CMP0164,Open drain in lake view road is clogged,Open drain in lake view road is clogged and water logs the street.,Drainage,High,Kannagi Street,1,Drain cleared and de-flooded.
CMP0165,Drain overflow near lake view road school is,Drain overflow near lake view road school is creating a dangerous unhygienic situation please look into this as soon as possible.,Drainage,Critical,Kannagi Street,0,Drain cleared and de-flooded.
CMP0166,Sewage is blocked in lake view road and,Sewage is blocked in lake view road and flowing back into houses.,Drainage,High,Mg Road,1,Drain cleared and de-flooded.
CMP0167,Sewage flooding the street in gandhi street is,Sewage flooding the street in gandhi street is a serious health risk for children please look into this as soon as possible.,Drainage,Critical,Jubilee Bus Stop,1,Drain cleared and de-flooded.
CMP0168,Sewage is blocked in sector 12 and flowing,Sewage is blocked in sector 12 and flowing back into houses.,Drainage,High,Mg Road,1,Drain cleared and de-flooded.
CMP0169,Drainage in lake view road is slow and,Drainage in lake view road is slow and water stays for long please look into this as soon as possible.,Drainage,Medium,Jubilee Bus Stop,1,Drain cleared and de-flooded.
CMP0170,Drainage in mg road is slow and water,Drainage in mg road is slow and water stays for long.,Drainage,Medium,Block B,0,Drain cleared and de-flooded.
CMP0171,Sewage flooding the street in kamaraj colony is,Sewage flooding the street in kamaraj colony is a serious health risk for children.,Drainage,Critical,Gandhi Street,1,Drain cleared and de-flooded.
CMP0172,Drainage water is overflowing onto the road in,Drainage water is overflowing onto the road in mg road.,Drainage,High,First Cross Street,1,Drain cleared and de-flooded.
CMP0173,Sewage is blocked in sector 12 and flowing,Sewage is blocked in sector 12 and flowing back into houses.,Drainage,High,Kannagi Street,1,Drain cleared and de-flooded.
CMP0174,Drainage water is overflowing onto the road in,Drainage water is overflowing onto the road in gandhi street.,Drainage,High,Main Road Near The Market,1,Drain cleared and de-flooded.
